week,grand challenges,solutions
1,[Ten simple rules to facilitate evidence implementation in the environmental sciences](https://www.facetsjournal.com/doi/10.1139/facets-2020-0021),this course :)
2,[climate change](https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2010GL042845) & [deck](https://figshare.com/articles/presentation/BIOL4265_climate_change/14960109),[R](https://ojs.library.queensu.ca/index.php/IEE/article/view/6559) & [deck](https://figshare.com/articles/presentation/BIOL4265_R_is_a_solution_/14960121)
3,[pollinator declines](http://science.sciencemag.org/content/339/6127/1611) & [deck](https://figshare.com/articles/presentation/BIOL4265_pollinator_declines/14960130),[citizen science](https://www.sciencedirect.com/science/article/pii/S0006320716301963?via%3Dihub) & [deck](https://figshare.com/articles/presentation/BIOL4265_citizen_science/14960139)
4,[invasive species](https://link.springer.com/article/10.1007/s10530-017-1461-x) & [deck](https://figshare.com/articles/presentation/BIOL4265_invasive_species/14960145),[team science](https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/120370) & [deck](https://figshare.com/articles/presentation/BIOL4265_team_science/14960154)
5,[land use challenges](https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecs2.2367) & [deck](https://figshare.com/articles/presentation/BIOL4265_landuse_challenges/14960337),[systematic review](https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0706.2013.00970.x) & [deck](https://figshare.com/articles/presentation/BIOL4265_systematic_reviews/14962560)
6,prep for test,[ten simple rules for decision making](https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1007706)
7,[take-home test](https://www.facetsjournal.com/doi/full/10.1139/facets-2020-0108),"select a dimension of challenge, find a replicable solution, use that paper here"
8,"choose your own adventure (i.e. challenge): search lit, read, sketch ideas",[synthesis tools in science](https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0706.2013.00970.x)
9,complete & submit scientific comic or infographic,[scientific communication](https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005845)
10,"choose your own adventure: write paper (review, systematic review, or meta)",[meta-analysis](https://onlinelibrary.wiley.com/doi/abs/10.1002/jrsm.1109)
11,choose your own adventure: write paper,[useful rules for science papers](https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1005619)
12,choose your own adventure: submit final synthesis paper,[Guidelines for authors in a leading journal in short-format papers](https://www.oikosjournal.org/authors/author-guidelines) & [deck](https://figshare.com/articles/presentation/A_summary_of_short_scientific_synthesis_contributions/17069735)
